meter_id_recording,meter_suffix,meter_id_str,meter_ref,m_id,description,tenant_name_recording,tenant_name_query,unit_number,reading,timestamp,month,tenant_id,unit_id
Three/NEO-EM-50017916,50017916,50017916,50017916,35,Ac,Qbe Group Shared Services Ltd - Ac,Qbe Group Shared Services Ltd -,NEO3_GF01,212784.0,2025-09-28 10:09:00,9.0,17,41
Three/NEO-EM-17873389,17873389,17873389,17873389,80,,Security Bank,Security Bank,NEO3_GF02,93032.0,2025-09-28 10:20:00,9.0,20,42
Three/NEO-EM-28286903,28286903,28286903,28286903,36,Ac,Security Bank - Ac,Security Bank,NEO3_GF02,114435.0,2025-09-28 10:09:00,9.0,20,42
Three/NEO-EM-16871324,16871324,16871324,16871324,81,,7Eleven,7Eleven,NEO3_GF03,430497.0,2025-09-28 10:20:00,9.0,10,43
Three/NEO-EM-14864628,14864628,14864628,14864628,39,Lbs Digital Infrastructure Corp  Ldic Lighting & Power,Lbs Digital Infrastructure Corp - Ldic (Lighting & Power),Red Fu,NEO3_0702,188425.0,2025-09-28 10:06:00,9.0,18,36
Three/NEO-EM-14864257,14864257,14864257,14864257,29,Accu,Lbs Digital Infrastructure Corp - Ldic (Accu),Lbs Digital Infrastructure Corp - Ldic,NEO3_0701,208084.0,2025-09-28 10:13:00,9.0,14,35
Three/NEO-EM-28693813,28693813,28693813,28693813,38,Red Fu Lighting & Power,Red Fu (Lighting & Power),Lbs Digital Infrastructure Corp - Ldic,NEO3_0701,1018483.0,2025-09-28 10:06:00,9.0,14,35
Three/NEO-EM-14864627,14864627,14864627,14864627,30,Accu,Red Fu  (Accu),Red Fu,NEO3_0702,110412.0,2025-09-28 10:06:00,9.0,18,36
Three/NEO-EM-16870422,16870422,16870422,16870422,40,Lighting & Power,"Adventure International Tours, Inc (Aiti) (Lighting & Power)","Adventure International Tours, Inc (Aiti)",NEO3_0801,234128.0,2025-09-28 10:05:00,9.0,11,37
Three/NEO-EM-28286864,28286864,28286864,28286864,31,Lighting & Power,"Adventure International Tours, Inc (Aiti) (Lighting & Power)","Adventure International Tours, Inc (Aiti)",NEO3_0801,181415.0,2025-09-28 10:13:00,9.0,11,37
Three/NEO-EM-16871198,16871198,16871198,16871198,41,Lighting & Power,"Adventure International Tours, Inc (Aiti) (Lighting & Power)","Adventure International Tours, Inc (Aiti)",NEO3_0802,34885.0,2025-09-28 10:05:00,9.0,11,38
Three/NEO-EM-16871295,16871295,16871295,16871295,32,Lighting & Power,"Adventure International Tours, Inc (Aiti) (Lighting & Power)","Adventure International Tours, Inc (Aiti)",NEO3_0802,125855.0,2025-09-28 10:13:00,9.0,11,38
Three/NEO-EM-16870424,16870424,16870424,16870424,43,Lighting & Power,Figari (Lighting & Power),Figari,NEO3_0902,222918.0,2025-09-28 10:03:00,9.0,12,40
Three/NEO-EM-16871297,16871297,16871297,16871297,33,Accu,Figari (Accu),Figari,NEO3_0901,98503.0,2025-09-28 10:12:00,9.0,12,39
Three/NEO-EM-16870423,16870423,16870423,16870423,42,Lighting & Power,Figari (Lighting & Power),Figari,NEO3_0901,222297.0,2025-09-28 10:03:00,9.0,12,39
Three/NEO-EM-17873386,17873386,17873386,17873386,34,Accu,Figari (Accu),Figari,NEO3_0902,419248.0,2025-09-28 10:12:00,9.0,12,40
Three/NEO-EM-15867790,15867790,15867790,15867790,44,Lighting & Power,Tdg (Lighting & Power),Tdg,NEO3_1001,39622.0,2025-09-28 10:00:00,9.0,21,44
Three/NEO-EM-15867792,15867792,15867792,15867792,45,Lighting & Power,Vacant (Lighting & Power),Vacant,NEO3_1002,49577.0,2025-09-28 10:00:00,9.0,9,27
Three/NEO-EM-74686521,74686521,74686521,74686521,21,Accu,Vacant (Accu),Vacant,NEO3_1002,1861.0,2025-09-28 10:12:00,9.0,9,27
Three/NEO-EM-15867791,15867791,15867791,15867791,47,Lighting & Power,Vacant (Lighting & Power),Vacant,NEO3_1102,99733.0,2025-09-28 09:58:00,9.0,9,29
Three/NEO-EM-16871305,16871305,16871305,16871305,22,Accu,Vacant (Accu),Vacant,NEO3_1101,85200.0,2025-09-28 10:12:00,9.0,9,28
Three/NEO-EM-50017872,50017872,50017872,50017872,46,Lighting & Power,Vacant (Lighting & Power),Vacant,NEO3_1101,17306.0,2025-09-28 09:58:00,9.0,9,28
Three/NEO-EM-16870419,16870419,16870419,16870419,23,Accu,Vacant (Accu),Vacant,NEO3_1102,25437.0,2025-09-28 10:12:00,9.0,9,29
Three/NEO-EM-17873388,17873388,17873388,17873388,48,Lighting & Power,Vacant (Lighting & Power),Vacant,NEO3_1201,61369.0,2025-09-28 09:57:00,9.0,9,30
Three/NEO-EM-50017871,50017871,50017871,50017871,24,Accu,Vacant (Accu),Vacant,NEO3_1201,91785.0,2025-09-28 10:11:00,9.0,9,30
Three/NEO-EM-50017870,50017870,50017870,50017870,49,Lighting & Power,Vacant (Lighting & Power),Vacant,NEO3_1202,6324.0,2025-09-28 09:57:00,9.0,9,26
Three/NEO-EM-28377053,28377053,28377053,28377053,25,Accu,Regus (Accu),Regus,NEO3_1401,341485.0,2025-09-28 10:11:00,9.0,19,31
Three/NEO-EM-50017914,50017914,50017914,50017914,26,Accu,Regus (Accu),Regus,NEO3_1402,298819.0,2025-09-28 10:11:00,9.0,19,32
Three/NEO-EM-47700729,47700729,47700729,47700729,51,Lighting & Power,Regus (Lighting & Power),Regus,NEO3_1501,41621.0,2025-09-28 09:54:00,9.0,19,33
Three/NEO-EM-50017869,50017869,50017869,50017869,27,Accu,Regus (Accu),Regus,NEO3_1501,286261.0,2025-09-28 10:10:00,9.0,19,33
Three/NEO-EM-16871199,16871199,16871199,16871199,28,Accu,Regus (Accu),Regus,NEO3_1502,192924.0,2025-09-28 10:10:00,9.0,19,34
Three/NEO-EM-47702529,47702529,47702529,47702529,61,Lighting & Power,Luxasia (Lighting & Power),Luxasia,NEO3_1601,24541.7,2025-09-28 09:52:00,9.0,15,45
Three/NEO-EM-97286820,97286820,97286820,97286820,52,Accu,Luxasia (Accu),Luxasia,NEO3_1601,21612.1,2025-09-28 09:52:00,9.0,15,45
Three/NEO-EM-17759111,17759111,17759111,17759111,53,Lighting & Power,Tyler Technologies Philippines (Lighting & Power),Tyler Technologies Philippines,NEO3_1802,143303.0,2025-09-28 09:50:00,9.0,22,46
Three/NEO-EM-16871296,16871296,16871296,16871296,63,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1701,85830.0,2025-09-28 09:28:00,9.0,22,55
Three/NEO-EM-28693827,28693827,28693827,28693827,64,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1702,141194.0,2025-09-28 09:28:00,9.0,22,56
Three/NEO-EM-14864259,14864259,14864259,14864259,65,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1801,208081.0,2025-09-28 09:28:00,9.0,22,47
Three/NEO-EM-16872661,16872661,16872661,16872661,66,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1802,202352.0,2025-09-28 09:28:00,9.0,22,46
Three/NEO-EM-17759112,17759112,17759112,17759112,55,Hc Consumer Finance Phillippines Inc Lighting & Power,Hc Consumer Finance Phillippines Inc (Lighting & Power),Hc Consumer Finance Philippines Inc,NEO3_1901,233082.0,2025-09-28 09:48:00,9.0,13,48
Three/NEO-EM-28930910,28930910,28930910,28930910,67,Hc Consumer Finance Phillippines Inc Accu,Hc Consumer Finance Phillippines Inc (Accu),Hc Consumer Finance Philippines Inc,NEO3_1901,91359.0,2025-09-28 09:33:00,9.0,13,48
Three/NEO-EM-16870425,16870425,16870425,16870425,68,Hc Consumer Finance Phillippines Inc Accu,Hc Consumer Finance Phillippines Inc (Accu),Hc Consumer Finance Philippines Inc,NEO3_1902,251282.0,2025-09-28 09:33:00,9.0,13,57
Three/NEO-EM-10712524,10712524,10712524,10712524,56,Lighting & Power,Figari (Lighting & Power),Figari,NEO3_2001,166195.0,2025-09-28 09:46:00,9.0,12,49
Three/NEO-EM-23549655,23549655,23549655,23549655,69,Accu,Figari (Accu),Figari,NEO3_2001,150627.0,2025-09-28 09:30:00,9.0,12,49
Three/NEO-EM-14864298,14864298,14864298,14864298,70,Accu,Figari (Accu),Figari,NEO3_2002,195640.0,2025-09-28 09:30:00,9.0,12,58
Three/NEO-EM-21384862,21384862,21384862,21384862,57,Lighting & Power,Figari (Lighting & Power),Figari,NEO3_2101,589915.19,2025-09-28 09:44:00,9.0,12,50
Three/NEO-EM-28460987,28460987,28460987,28460987,71,Accu,Figari (Accu),Figari,NEO3_2101,156911.0,2025-09-28 09:31:00,9.0,12,50
Three/NEO-EM-16871323,16871323,16871323,16871323,72,Accu,Figari (Accu),Figari,NEO3_2102,146835.0,2025-09-28 09:31:00,9.0,12,59
Three/NEO-EM-28286899,28286899,28286899,28286899,73,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2201,304440.0,2025-09-28 09:33:00,9.0,16,51
Three/NEO-EM-21393124,21393124,21393124,21393124,59,Lighting Power,Qbe Group Shared Services Ltd (Lighting Power),Qbe Group Shared Services Ltd,NEO3_2301,241759.0,2025-09-28 09:40:00,9.0,16,52
Three/NEO-EM-16871325,16871325,16871325,16871325,75,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2301,194012.0,2025-09-28 09:40:00,9.0,16,52
Three/NEO-EM-16871266,16871266,16871266,16871266,76,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2302,364424.0,2025-09-28 09:40:00,9.0,16,61
Three/NEO-EM-59072030,59072030,59072030,59072030,60,Lighting Power,Qbe Group Shared Services Ltd (Lighting Power),Qbe Group Shared Services Ltd,NEO3_2401,161048.0,2025-09-28 09:40:00,9.0,16,53
Three/NEO-EM-14864297,14864297,14864297,14864297,77,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2401,290680.0,2025-09-28 09:35:00,9.0,16,53
Three/NEO-EM-16871267,16871267,16871267,16871267,62,Wall Mounted Accu,Qbe Group Shared Services Ltd (Wall Mounted Accu),Qbe Group Shared Services Ltd,NEO3_1602,65774.0,2025-09-28 09:28:00,9.0,16,54
Three/NEO-EM-50017916,50017916,50017916,50017916,35,Ac,Qbe Group Shared Services Ltd - Ac,Qbe Group Shared Services Ltd -,NEO3_GF01,208391.0,2025-08-26 10:14:00,9.0,17,41
Three/NEO-EM-17873389,17873389,17873389,17873389,80,,Security Bank,Security Bank,NEO3_GF02,92135.0,2025-08-26 11:18:00,9.0,20,42
Three/NEO-EM-28286903,28286903,28286903,28286903,36,Ac,Security Bank - Ac,Security Bank,NEO3_GF02,112694.0,2025-08-26 10:14:00,9.0,20,42
Three/NEO-EM-16871324,16871324,16871324,16871324,81,,7Eleven,7Eleven,NEO3_GF03,421106.0,2025-08-26 11:20:00,9.0,10,43
Three/NEO-EM-14864628,14864628,14864628,14864628,39,Lbs Digital Infrastructure Corp  Ldic Lighting & Power,Lbs Digital Infrastructure Corp - Ldic (Lighting & Power),Red Fu,NEO3_0702,184123.0,2025-08-26 10:10:00,9.0,18,36
Three/NEO-EM-14864257,14864257,14864257,14864257,29,Accu,Lbs Digital Infrastructure Corp - Ldic (Accu),Lbs Digital Infrastructure Corp - Ldic,NEO3_0701,203479.0,2025-08-26 10:18:00,9.0,14,35
Three/NEO-EM-28693813,28693813,28693813,28693813,38,Red Fu Lighting & Power,Red Fu (Lighting & Power),Lbs Digital Infrastructure Corp - Ldic,NEO3_0701,1015441.0,2025-08-26 10:10:00,9.0,14,35
Three/NEO-EM-14864627,14864627,14864627,14864627,30,Accu,Red Fu  (Accu),Red Fu,NEO3_0702,104516.0,2025-08-26 10:18:00,9.0,18,36
Three/NEO-EM-16870422,16870422,16870422,16870422,40,Lighting & Power,"Adventure International Tours, Inc (Aiti) (Lighting & Power)","Adventure International Tours, Inc (Aiti)",NEO3_0801,229187.0,2025-08-26 10:08:00,9.0,11,37
Three/NEO-EM-28286864,28286864,28286864,28286864,31,Lighting & Power,"Adventure International Tours, Inc (Aiti) (Lighting & Power)","Adventure International Tours, Inc (Aiti)",NEO3_0801,177264.0,2025-08-26 10:18:00,9.0,11,37
Three/NEO-EM-16871198,16871198,16871198,16871198,41,Lighting & Power,"Adventure International Tours, Inc (Aiti) (Lighting & Power)","Adventure International Tours, Inc (Aiti)",NEO3_0802,33385.0,2025-08-26 10:08:00,9.0,11,38
Three/NEO-EM-16871295,16871295,16871295,16871295,32,Lighting & Power,"Adventure International Tours, Inc (Aiti) (Lighting & Power)","Adventure International Tours, Inc (Aiti)",NEO3_0802,121315.0,2025-08-26 10:17:00,9.0,11,38
Three/NEO-EM-16870424,16870424,16870424,16870424,43,Lighting & Power,Figari (Lighting & Power),Figari,NEO3_0902,218956.0,2025-08-26 10:06:00,9.0,12,40
Three/NEO-EM-16871297,16871297,16871297,16871297,33,Accu,Figari (Accu),Figari,NEO3_0901,93297.0,2025-08-26 10:17:00,9.0,12,39
Three/NEO-EM-16870423,16870423,16870423,16870423,42,Lighting & Power,Figari (Lighting & Power),Figari,NEO3_0901,219497.0,2025-08-26 10:06:00,9.0,12,39
Three/NEO-EM-17873386,17873386,17873386,17873386,34,Accu,Figari (Accu),Figari,NEO3_0902,412650.0,2025-08-26 10:17:00,9.0,12,40
Three/NEO-EM-15867790,15867790,15867790,15867790,44,Lighting & Power,Tdg (Lighting & Power),Tdg,NEO3_1001,39341.0,2025-08-26 10:03:00,9.0,21,44
Three/NEO-EM-15867792,15867792,15867792,15867792,45,Lighting & Power,Vacant (Lighting & Power),Vacant,NEO3_1002,49182.0,2025-08-26 10:03:00,9.0,9,27
Three/NEO-EM-74686521,74686521,74686521,74686521,21,Accu,Vacant (Accu),Vacant,NEO3_1002,1565.0,2025-08-26 10:17:00,9.0,9,27
Three/NEO-EM-15867791,15867791,15867791,15867791,47,Lighting & Power,Vacant (Lighting & Power),Vacant,NEO3_1102,99706.0,2025-08-26 10:01:00,9.0,9,29
Three/NEO-EM-16871305,16871305,16871305,16871305,22,Accu,Vacant (Accu),Vacant,NEO3_1101,85153.0,2025-08-26 10:16:00,9.0,9,28
Three/NEO-EM-50017872,50017872,50017872,50017872,46,Lighting & Power,Vacant (Lighting & Power),Vacant,NEO3_1101,15603.0,2025-08-26 10:01:00,9.0,9,28
Three/NEO-EM-16870419,16870419,16870419,16870419,23,Accu,Vacant (Accu),Vacant,NEO3_1102,23742.0,2025-08-26 10:16:00,9.0,9,29
Three/NEO-EM-17873388,17873388,17873388,17873388,48,Lighting & Power,Vacant (Lighting & Power),Vacant,NEO3_1201,61088.0,2025-08-26 09:59:00,9.0,9,30
Three/NEO-EM-50017871,50017871,50017871,50017871,24,Accu,Vacant (Accu),Vacant,NEO3_1201,91117.0,2025-08-26 10:16:00,9.0,9,30
Three/NEO-EM-50017870,50017870,50017870,50017870,49,Lighting & Power,Vacant (Lighting & Power),Vacant,NEO3_1202,6080.0,2025-08-26 09:59:00,9.0,9,26
Three/NEO-EM-28377053,28377053,28377053,28377053,25,Accu,Regus (Accu),Regus,NEO3_1401,339412.0,2025-08-26 10:15:00,9.0,19,31
Three/NEO-EM-50017914,50017914,50017914,50017914,26,Accu,Regus (Accu),Regus,NEO3_1402,297439.0,2025-08-26 10:15:00,9.0,19,32
Three/NEO-EM-47700729,47700729,47700729,47700729,51,Lighting & Power,Regus (Lighting & Power),Regus,NEO3_1501,41483.0,2025-08-26 09:54:00,9.0,19,33
Three/NEO-EM-50017869,50017869,50017869,50017869,27,Accu,Regus (Accu),Regus,NEO3_1501,278848.0,2025-08-26 10:15:00,9.0,19,33
Three/NEO-EM-16871199,16871199,16871199,16871199,28,Accu,Regus (Accu),Regus,NEO3_1502,188042.0,2025-08-26 10:15:00,9.0,19,34
Three/NEO-EM-47702529,47702529,47702529,47702529,61,Lighting & Power,Luxasia (Lighting & Power),Luxasia,NEO3_1601,24459.5,2025-08-26 09:21:00,9.0,15,45
Three/NEO-EM-97286820,97286820,97286820,97286820,52,Accu,Luxasia (Accu),Luxasia,NEO3_1601,21553.3,2025-08-26 09:51:00,9.0,15,45
Three/NEO-EM-17759111,17759111,17759111,17759111,53,Lighting & Power,Tyler Technologies Philippines (Lighting & Power),Tyler Technologies Philippines,NEO3_1802,135978.0,2025-08-26 09:49:00,9.0,22,46
Three/NEO-EM-16871296,16871296,16871296,16871296,63,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1701,84230.0,2025-08-26 09:15:00,9.0,22,55
Three/NEO-EM-28693827,28693827,28693827,28693827,64,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1702,139098.0,2025-08-26 09:16:00,9.0,22,56
Three/NEO-EM-14864259,14864259,14864259,14864259,65,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1801,202572.0,2025-08-26 09:16:00,9.0,22,47
Three/NEO-EM-16872661,16872661,16872661,16872661,66,Accu,Tyler Technologies Philippines (Accu),Tyler Technologies Philippines,NEO3_1802,197840.0,2025-08-26 09:16:00,9.0,22,46
Three/NEO-EM-17759112,17759112,17759112,17759112,55,Hc Consumer Finance Phillippines Inc Lighting & Power,Hc Consumer Finance Phillippines Inc (Lighting & Power),Hc Consumer Finance Philippines Inc,NEO3_1901,226431.0,2025-08-26 09:43:00,9.0,13,48
Three/NEO-EM-28930910,28930910,28930910,28930910,67,Hc Consumer Finance Phillippines Inc Accu,Hc Consumer Finance Phillippines Inc (Accu),Hc Consumer Finance Philippines Inc,NEO3_1901,89137.0,2025-08-26 09:17:00,9.0,13,48
Three/NEO-EM-16870425,16870425,16870425,16870425,68,Hc Consumer Finance Phillippines Inc Accu,Hc Consumer Finance Phillippines Inc (Accu),Hc Consumer Finance Philippines Inc,NEO3_1902,247065.0,2025-08-26 09:17:00,9.0,13,57
Three/NEO-EM-10712524,10712524,10712524,10712524,56,Lighting & Power,Figari (Lighting & Power),Figari,NEO3_2001,155226.0,2025-08-26 09:41:00,9.0,12,49
Three/NEO-EM-23549655,23549655,23549655,23549655,69,Accu,Figari (Accu),Figari,NEO3_2001,147035.0,2025-08-26 09:17:00,9.0,12,49
Three/NEO-EM-14864298,14864298,14864298,14864298,70,Accu,Figari (Accu),Figari,NEO3_2002,191967.0,2025-08-26 09:18:00,9.0,12,58
Three/NEO-EM-21384862,21384862,21384862,21384862,57,Lighting & Power,Figari (Lighting & Power),Figari,NEO3_2101,584518.0,2025-08-26 09:38:00,9.0,12,50
Three/NEO-EM-28460987,28460987,28460987,28460987,71,Accu,Figari (Accu),Figari,NEO3_2101,151618.0,2025-08-26 09:18:00,9.0,12,50
Three/NEO-EM-16871323,16871323,16871323,16871323,72,Accu,Figari (Accu),Figari,NEO3_2102,138699.0,2025-08-26 09:18:00,9.0,12,59
Three/NEO-EM-28286899,28286899,28286899,28286899,73,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2201,298378.0,2025-08-26 09:19:00,9.0,16,51
Three/NEO-EM-21393124,21393124,21393124,21393124,59,Lighting Power,Qbe Group Shared Services Ltd (Lighting Power),Qbe Group Shared Services Ltd,NEO3_2301,234657.0,2025-08-26 09:29:00,9.0,16,52
Three/NEO-EM-16871325,16871325,16871325,16871325,75,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2301,188753.0,2025-08-26 09:19:00,9.0,16,52
Three/NEO-EM-16871266,16871266,16871266,16871266,76,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2302,357164.0,2025-08-26 09:20:00,9.0,16,61
Three/NEO-EM-59072030,59072030,59072030,59072030,60,Lighting Power,Qbe Group Shared Services Ltd (Lighting Power),Qbe Group Shared Services Ltd,NEO3_2401,154848.0,2025-08-26 09:25:00,9.0,16,53
Three/NEO-EM-14864297,14864297,14864297,14864297,77,Accu,Qbe Group Shared Services Ltd (Accu),Qbe Group Shared Services Ltd,NEO3_2401,284796.0,2025-08-26 09:20:00,9.0,16,53
Three/NEO-EM-16871267,16871267,16871267,16871267,62,Wall Mounted Accu,Qbe Group Shared Services Ltd (Wall Mounted Accu),Qbe Group Shared Services Ltd,NEO3_1602,61224.0,2025-08-26 09:15:00,9.0,16,54
