"tenant_name","tenant_id","unit_number","unit_id","meter_id","meter_ref","m_id"
"(vacant)","9","NEO_1202","26","8851932","8851932","20"
"(vacant)","9","NEO_1202","26","50017870","50017870","49"
"(vacant)","9","NEO_1002","27","74686521","74686521","21"
"(vacant)","9","NEO_1002","27","15867792","15867792","45"
"(vacant)","9","NEO_1101","28","16871305","16871305","22"
"(vacant)","9","NEO_1101","28","50017872","50017872","46"
"(vacant)","9","NEO_1102","29","16870419","16870419","23"
"(vacant)","9","NEO_1102","29","15867791","15867791","47"
"(vacant)","9","NEO_1201","30","50017871","50017871","24"
"(vacant)","9","NEO_1201","30","17873388","17873388","48"
"Regus","19","NEO_1401","31","28377053","28377053","25"
"Regus","19","NEO_1401","31","2100454","2100454","50"
"Regus","19","NEO_1402","32","50017914","50017914","26"
"Regus","19","NEO_1501","33","50017869","50017869","27"
"Regus","19","NEO_1501","33","47700729","47700729","51"
"Regus","19","NEO_1502","34","16871199","16871199","28"
"LBS Digital Infrastructure Corp - LDIC","14","NEO_0701","35","14864257","14864257","29"
"LBS Digital Infrastructure Corp - LDIC","14","NEO_0701","35","28693813","28693813","38"
"Red Fu","18","NEO_0702","36","14864627","14864627","30"
"Red Fu","18","NEO_0702","36","14864628","14864628","39"
"Adventure International Tours, Inc. (AITI)","11","NEO_0801","37","28286864","28286864","31"
"Adventure International Tours, Inc. (AITI)","11","NEO_0801","37","16870422","16870422","40"
"Adventure International Tours, Inc. (AITI)","11","NEO_0802","38","16871295","16871295","32"
"Adventure International Tours, Inc. (AITI)","11","NEO_0802","38","16871198","16871198","41"
"Figari","12","NEO_0901","39","16871297","16871297","33"
"Figari","12","NEO_0901","39","16870423","16870423","42"
"Figari","12","NEO_0902","40","17873386","17873386","34"
"Figari","12","NEO_0902","40","16870424","16870424","43"
"QBE Group Shared Services Ltd. - Lobby","17","NEO_GF01","41","50017916","50017916","35"
"QBE Group Shared Services Ltd. - Lobby","17","NEO_GF01","41","8851888","8851888","79"
"Security Bank","20","NEO_GF02","42","28286903","28286903","36"
"Security Bank","20","NEO_GF02","42","17873389","17873389","80"
"7Eleven","10","NEO_GF03","43","8852422","8852422","37"
"7Eleven","10","NEO_GF03","43","16871324","16871324","81"
"TDG","21","NEO_1001","44","15867790","15867790","44"
"Luxasia","15","NEO_1601","45","97286820","97286820","52"
"Luxasia","15","NEO_1601","45","47702529","47702529","61"
"Tyler Technologies Philippines","22","NEO_1802","46","17759111","17759111","53"
"Tyler Technologies Philippines","22","NEO_1802","46","16872661","16872661","66"
"Tyler Technologies Philippines","22","NEO_1801","47","17759109","17759109","54"
"Tyler Technologies Philippines","22","NEO_1801","47","14864259","14864259","65"
"HC Consumer Finance Philippines Inc.","13","NEO_1901","48","17759112","17759112","55"
"HC Consumer Finance Philippines Inc.","13","NEO_1901","48","28930910","28930910","67"
"Figari","12","NEO_2001","49","10712524","10712524","56"
"Figari","12","NEO_2001","49","23549655","23549655","69"
"Figari","12","NEO_2101","50","21384862","21384862","57"
"Figari","12","NEO_2101","50","28460987","28460987","71"
"QBE Group Shared Services Ltd.","16","NEO_2201","51","16669405/16126238","16669405/16126238","58"
"QBE Group Shared Services Ltd.","16","NEO_2201","51","28286899","28286899","73"
"QBE Group Shared Services Ltd.","16","NEO_2301","52","21393124","21393124","59"
"QBE Group Shared Services Ltd.","16","NEO_2301","52","16871325","16871325","75"
"QBE Group Shared Services Ltd.","16","NEO_2401","53","59072030","59072030","60"
"QBE Group Shared Services Ltd.","16","NEO_2401","53","14864297","14864297","77"
"QBE Group Shared Services Ltd.","16","NEO_1602","54","16871267","16871267","62"
"Tyler Technologies Philippines","22","NEO_1701","55","16871296","16871296","63"
"Tyler Technologies Philippines","22","NEO_1702","56","28693827","28693827","64"
"HC Consumer Finance Philippines Inc.","13","NEO_1902","57","16870425","16870425","68"
"Figari","12","NEO_2002","58","14864298","14864298","70"
"Figari","12","NEO_2102","59","16871323","16871323","72"
"QBE Group Shared Services Ltd.","16","NEO_2202","60","8851930","8851930","74"
"QBE Group Shared Services Ltd.","16","NEO_2302","61","16871266","16871266","76"
"QBE Group Shared Services Ltd.","16","NEO_2402","62","500017913","500017913","78"