meter_id,meter_kW,timestamp_record
56,166195,2025-09-28 09:46:00
56,155226,2025-08-26 09:41:00
29,208084,2025-09-28 10:13:00
29,203479,2025-08-26 10:18:00
65,208081,2025-09-28 09:28:00
65,202572,2025-08-26 09:16:00
77,290680,2025-09-28 09:35:00
77,284796,2025-08-26 09:20:00
70,195640,2025-09-28 09:30:00
70,191967,2025-08-26 09:18:00
30,110412,2025-09-28 10:06:00
30,104516,2025-08-26 10:18:00
39,188425,2025-09-28 10:06:00
39,184123,2025-08-26 10:10:00
44,39622,2025-09-28 10:00:00
44,39341,2025-08-26 10:03:00
47,99733,2025-09-28 09:58:00
47,99706,2025-08-26 10:01:00
45,49577,2025-09-28 10:00:00
45,49182,2025-08-26 10:03:00
23,25437,2025-09-28 10:12:00
23,23742,2025-08-26 10:16:00
40,234128,2025-09-28 10:05:00
40,229187,2025-08-26 10:08:00
42,222297,2025-09-28 10:03:00
42,219497,2025-08-26 10:06:00
43,222918,2025-09-28 10:03:00
43,218956,2025-08-26 10:06:00
68,251282,2025-09-28 09:33:00
68,247065,2025-08-26 09:17:00
41,34885,2025-09-28 10:05:00
41,33385,2025-08-26 10:08:00
28,192924,2025-09-28 10:10:00
28,188042,2025-08-26 10:15:00
76,364424,2025-09-28 09:40:00
76,357164,2025-08-26 09:20:00
62,65774,2025-09-28 09:28:00
62,61224,2025-08-26 09:15:00
32,125855,2025-09-28 10:13:00
32,121315,2025-08-26 10:17:00
63,85830,2025-09-28 09:28:00
63,84230,2025-08-26 09:15:00
33,98503,2025-09-28 10:12:00
33,93297,2025-08-26 10:17:00
22,85200,2025-09-28 10:12:00
22,85153,2025-08-26 10:16:00
72,146835,2025-09-28 09:31:00
72,138699,2025-08-26 09:18:00
81,430497,2025-09-28 10:20:00
81,421106,2025-08-26 11:20:00
75,194012,2025-09-28 09:40:00
75,188753,2025-08-26 09:19:00
66,202352,2025-09-28 09:28:00
66,197840,2025-08-26 09:16:00
53,143303,2025-09-28 09:50:00
53,135978,2025-08-26 09:49:00
55,233082,2025-09-28 09:48:00
55,226431,2025-08-26 09:43:00
34,419248,2025-09-28 10:12:00
34,412650,2025-08-26 10:17:00
48,61369,2025-09-28 09:57:00
48,61088,2025-08-26 09:59:00
80,93032,2025-09-28 10:20:00
80,92135,2025-08-26 11:18:00
57,589915.19,2025-09-28 09:44:00
57,584518,2025-08-26 09:38:00
59,241759,2025-09-28 09:40:00
59,234657,2025-08-26 09:29:00
69,150627,2025-09-28 09:30:00
69,147035,2025-08-26 09:17:00
31,181415,2025-09-28 10:13:00
31,177264,2025-08-26 10:18:00
73,304440,2025-09-28 09:33:00
73,298378,2025-08-26 09:19:00
36,114435,2025-09-28 10:09:00
36,112694,2025-08-26 10:14:00
25,341485,2025-09-28 10:11:00
25,339412,2025-08-26 10:15:00
71,156911,2025-09-28 09:31:00
71,151618,2025-08-26 09:18:00
38,1018483,2025-09-28 10:06:00
38,1015441,2025-08-26 10:10:00
64,141194,2025-09-28 09:28:00
64,139098,2025-08-26 09:16:00
67,91359,2025-09-28 09:33:00
67,89137,2025-08-26 09:17:00
51,41621,2025-09-28 09:54:00
51,41483,2025-08-26 09:54:00
61,24541.7,2025-09-28 09:52:00
61,24459.5,2025-08-26 09:21:00
27,286261,2025-09-28 10:10:00
27,278848,2025-08-26 10:15:00
49,6324,2025-09-28 09:57:00
49,6080,2025-08-26 09:59:00
24,91785,2025-09-28 10:11:00
24,91117,2025-08-26 10:16:00
46,17306,2025-09-28 09:58:00
46,15603,2025-08-26 10:01:00
26,298819,2025-09-28 10:11:00
26,297439,2025-08-26 10:15:00
35,212784,2025-09-28 10:09:00
35,208391,2025-08-26 10:14:00
60,161048,2025-09-28 09:40:00
60,154848,2025-08-26 09:25:00
21,1861,2025-09-28 10:12:00
21,1565,2025-08-26 10:17:00
52,21612.1,2025-09-28 09:52:00
52,21553.3,2025-08-26 09:51:00