meter_ref,meter_id,unit_id,is_active
Three/NEO-EM-10712524,56,49,1
Three/NEO-EM-14864257,29,35,1
Three/NEO-EM-14864259,65,47,1
Three/NEO-EM-14864297,77,53,1
Three/NEO-EM-14864298,70,58,1
Three/NEO-EM-14864627,30,36,1
Three/NEO-EM-14864628,39,36,1
Three/NEO-EM-15867790,44,44,1
Three/NEO-EM-15867791,47,29,1
Three/NEO-EM-15867792,45,27,1
Three/NEO-EM-16870419,23,29,1
Three/NEO-EM-16870422,40,37,1
Three/NEO-EM-16870423,42,39,1
Three/NEO-EM-16870424,43,40,1
Three/NEO-EM-16870425,68,57,1
Three/NEO-EM-16871198,41,38,1
Three/NEO-EM-16871199,28,34,1
Three/NEO-EM-16871266,76,61,1
Three/NEO-EM-16871267,62,54,1
Three/NEO-EM-16871295,32,38,1
Three/NEO-EM-16871296,63,55,1
Three/NEO-EM-16871297,33,39,1
Three/NEO-EM-16871305,22,28,1
Three/NEO-EM-16871323,72,59,1
Three/NEO-EM-16871324,81,43,1
Three/NEO-EM-16871325,75,52,1
Three/NEO-EM-16872661,66,46,1
Three/NEO-EM-17759111,53,46,1
Three/NEO-EM-17759112,55,48,1
Three/NEO-EM-17873386,34,40,1
Three/NEO-EM-17873388,48,30,1
Three/NEO-EM-17873389,80,42,1
Three/NEO-EM-21384862,57,50,1
Three/NEO-EM-21393124,59,52,1
Three/NEO-EM-23549655,69,49,1
Three/NEO-EM-28286864,31,37,1
Three/NEO-EM-28286899,73,51,1
Three/NEO-EM-28286903,36,42,1
Three/NEO-EM-28377053,25,31,1
Three/NEO-EM-28460987,71,50,1
Three/NEO-EM-28693813,38,35,1
Three/NEO-EM-28693827,64,56,1
Three/NEO-EM-28930910,67,48,1
Three/NEO-EM-47700729,51,33,1
Three/NEO-EM-47702529,61,45,1
Three/NEO-EM-50017869,27,33,1
Three/NEO-EM-50017870,49,26,1
Three/NEO-EM-50017871,24,30,1
Three/NEO-EM-50017872,46,28,1
Three/NEO-EM-50017914,26,32,1
Three/NEO-EM-50017916,35,41,1
Three/NEO-EM-59072030,60,53,1
Three/NEO-EM-74686521,21,27,1
Three/NEO-EM-97286820,52,45,1