unit_number,unit_id,building_id,floor
NEO3_0701,35,1,7
NEO3_0702,36,1,7
NEO3_0801,37,1,8
NEO3_0802,38,1,8
NEO3_0901,39,1,9
NEO3_0902,40,1,9
NEO3_1001,44,1,10
NEO3_1002,27,1,10
NEO3_1101,28,1,11
NEO3_1102,29,1,11
NEO3_1201,30,1,12
NEO3_1202,26,1,12
NEO3_1401,31,1,14
NEO3_1402,32,1,14
NEO3_1501,33,1,15
NEO3_1502,34,1,15
NEO3_1601,45,1,16
NEO3_1602,54,1,16
NEO3_1701,55,1,17
NEO3_1702,56,1,17
NEO3_1801,47,1,18
NEO3_1802,46,1,18
NEO3_1901,48,1,19
NEO3_1902,57,1,19
NEO3_2001,49,1,20
NEO3_2002,58,1,20
NEO3_2101,50,1,21
NEO3_2102,59,1,21
NEO3_2201,51,1,22
NEO3_2301,52,1,23
NEO3_2302,61,1,23
NEO3_2401,53,1,24
NEO3_GF01,41,1,0
NEO3_GF02,42,1,0
NEO3_GF03,43,1,0